driver_id,rate_pre,km_pre,trips_pre,rate_post,km_post,trips_post,delta,ratio
3851f86078c147048498bac873d32bb9,2.3908264052833417,28.442048259853138,7,1.1304167270243697,25.654255909975415,6,-1.260409678258972,0.4728142221142993
348ab9962ece4e55b0ce9aa04adaf71b,1.9255136651400782,35.315251836996495,7,1.002338759711557,21.94866734110027,6,-0.9231749054285212,0.5205565547822992
04618512580e479ca2447d2d6e3e5a01,1.9622893194588023,39.74949016259862,10,1.1010485558994243,39.053681846822975,7,-0.861240763559378,0.5611040864265074
b69a8ff4e1334b9daa098dda8d1c9f13,1.6136650817044436,36.562729570674534,10,0.7841164813430276,26.78173523917185,8,-0.829548600361416,0.48592269252972853
b52a27b2f0da4fefa31d352987994498,1.485144899596584,42.42010326205406,7,0.7208071531814579,40.2326750948592,9,-0.764337746415126,0.4853446646029312
b9c40703dcfd40fbafcac4dc20a63295,1.9299815492017156,25.90698342203382,6,1.1658122056021882,40.31524097461532,8,-0.7641693435995274,0.6040535496748115
6d3af7163bb74225818446ad551185a6,1.761048728269357,37.4776682442288,7,1.054426989106698,37.93529605486263,9,-0.706621739162659,0.5987494679621498
5952789bad7b454e96bce0fed9c90344,1.2954115594086832,30.106262150233043,7,0.6326175562505837,15.807338732848791,7,-0.6627940031580996,0.4883525638287146
06fc09066ff54ee0b0298ef00f80d42d,1.4805837394295904,41.87537546770986,8,0.8720674051117052,12.613703866836971,3,-0.6085163343178852,0.5890024197129693
b32c79530f6049bd94d61b63a5412020,1.516612168502074,40.22122548327462,9,0.9155727243923434,18.567612978294797,5,-0.6010394441097305,0.6036960162970573
