driver_id,rate_pre,km_pre,trips_pre,rate_post,km_post,trips_post,delta,ratio
d5063378b07548a2854773eaea2e9375,1.1311630264134633,20.333054973450864,5,2.573289080600724,10.881016132654445,3,1.4421260541872605,2.2749055799319713
58a1c1708edb4a75be19901e378e0285,0.8221292469165359,43.78873532965893,9,1.4363059428680327,16.70953192052977,4,0.6141766959514968,1.747056132907347
9aafce90055a47a18e0c79089469f85a,0.8301218388238921,15.66035176043346,5,1.1924475656256988,28.512784109009928,7,0.36232572680180664,1.436472948736231
6651a7b1ae6342e0bca120ed8da2207e,0.8338209032186004,17.989474648691427,4,1.1468599777481616,45.34119335309009,9,0.31303907452956126,1.375427233019958
6900c77cf75e4db28adbac15140e3931,1.2884418672753468,43.4633501303575,8,1.5710150244904144,24.824714844882095,5,0.2825731572150676,1.2193138583835543
3e5ec44cde6d4304ab58443d90368274,1.3484162155757786,28.922820379571643,8,1.5176372513221215,29.65135440685665,38,0.16922103574634284,1.1254961441368345
c24fe9f453af4415b33f95cce2f5b6be,1.1776868924801371,31.417518727817583,19,1.3316726883446546,33.79208749556738,9,0.15398579586451744,1.1307527466321992
43b16573fdbc466184844ca9d858b626,1.0584610463209625,32.12210795869951,8,1.1499749760780729,16.522098650179736,4,0.09151392975711037,1.086459421511257
8d3cc8f598564bd5b108ae140e61e94d,1.291996039369707,23.993881602859386,6,1.3592774384886368,31.634454293459875,9,0.06728139911892983,1.0520755459527202
d146883c489d426a9c60d213372852c1,1.282747841149113,28.84432841208651,7,1.31739997310796,31.880978334100917,8,0.034652131958846866,1.027013985794593
