driver_id,phase,trips,total_km,total_events,mean_ubpk,median_ubpk,rate_events_per_km
04618512580e479ca2447d2d6e3e5a01,post,7,39.053681846822975,43,0.9288489612545939,1.0561329830416433,1.1010485558994243
04618512580e479ca2447d2d6e3e5a01,pre,10,39.74949016259862,78,2.0359924188654044,2.2726819137993286,1.9622893194588023
06fc09066ff54ee0b0298ef00f80d42d,post,3,12.613703866836971,11,0.8931301894968215,0.778787475852614,0.8720674051117052
06fc09066ff54ee0b0298ef00f80d42d,pre,8,41.87537546770986,62,1.4475411150828061,1.5280040122630068,1.4805837394295904
0f67d8169e91426a88b8a32e5eb5dce0,post,7,31.928647209217434,31,1.0463365772691706,0.7767925693063107,0.9709149215395088
0f67d8169e91426a88b8a32e5eb5dce0,pre,5,19.125354047046084,22,1.235291882908149,0.9514027871013542,1.150305502626651
17dec2934ccd42d7b02d4264290dec04,post,9,44.57568685804544,56,1.201353749393869,1.1976609218303491,1.256290232348772
17dec2934ccd42d7b02d4264290dec04,pre,9,53.83536017544725,79,1.5939685641879882,1.512967125250118,1.4674370105919643
1e1f0a5baf04452ba71ce31f721700a7,post,5,25.097214262704746,43,1.5258959115403852,1.4455905026616016,1.7133375660700063
1e1f0a5baf04452ba71ce31f721700a7,pre,4,18.330691154758846,37,2.0700927740305253,2.046519363545213,2.018472718111035
24f36baf8aab424092875a3c5518c34c,post,8,26.47399105150535,23,0.7605806156270847,0.6266022873174293,0.8687772068538259
24f36baf8aab424092875a3c5518c34c,pre,4,17.38845113229893,25,1.4142689637547672,1.2951326497954672,1.43773587479351
27efe841acc44f5099a1160226e06ccb,post,7,39.21785486768377,39,0.9215017418625411,1.0321106406975329,0.9944450080602627
27efe841acc44f5099a1160226e06ccb,pre,7,34.99868683279127,48,1.4830765643818693,1.76232888471547,1.371480028074294
348ab9962ece4e55b0ce9aa04adaf71b,post,6,21.94866734110027,22,0.9071544374511,0.907251381830135,1.002338759711557
348ab9962ece4e55b0ce9aa04adaf71b,pre,7,35.315251836996495,68,1.9389474114870346,1.890953884031542,1.9255136651400782
3851f86078c147048498bac873d32bb9,post,6,25.654255909975415,29,1.229041096605727,1.1667507693053085,1.1304167270243697
3851f86078c147048498bac873d32bb9,pre,7,28.442048259853138,68,2.44411230989294,2.15089366808569,2.3908264052833417
39db2e32f4444b148643a4108c7fc103,post,9,30.823877794849203,40,1.3683002160039774,1.4856598490083712,1.2976952564574522
39db2e32f4444b148643a4108c7fc103,pre,4,18.91132952876049,34,1.6305960447383987,1.6912193002242226,1.7978640765733869
3e5ec44cde6d4304ab58443d90368274,post,38,29.65135440685665,45,0.2610499781940987,0.0,1.5176372513221215
3e5ec44cde6d4304ab58443d90368274,pre,8,28.922820379571643,39,1.3413090003854147,1.3933570114181522,1.3484162155757786
3e7365e2a1894d95b115a245ed9af0ec,post,9,38.23332709243635,41,1.0603127964565937,1.1423975849028392,1.0723628603096638
3e7365e2a1894d95b115a245ed9af0ec,pre,10,47.7580474598968,67,1.558814248187977,1.2228683497113413,1.402904925212049
3ff40565ba464936b28420c370651622,post,5,21.492747066872496,27,1.3237079383242207,0.8841086651884602,1.2562377399218558
3ff40565ba464936b28420c370651622,pre,10,39.209269598155615,52,1.5325224430019637,1.7637245746986059,1.3262170025846658
40eac30faba0435da0d7213f8cfc9c32,post,5,23.850808671623035,29,1.073583346348375,1.167401286825053,1.215891687333156
40eac30faba0435da0d7213f8cfc9c32,pre,5,14.404052330238432,18,1.4308036935077637,1.5439323979737438,1.249648334185276
43b16573fdbc466184844ca9d858b626,post,4,16.522098650179736,19,1.551854035744335,1.0541150841769196,1.1499749760780729
43b16573fdbc466184844ca9d858b626,pre,8,32.12210795869951,34,0.9620965564164132,1.053573222128188,1.0584610463209625
446b1e2317304addbacd77c47114dac3,post,9,50.38818054211635,45,0.9031214125115672,0.8643780452667342,0.8930665786272496
446b1e2317304addbacd77c47114dac3,pre,4,15.3289356203378,15,0.9642492630280768,0.7892517584885244,0.9785415224850066
54767952a9c2411ab0d1686941ebbd26,post,5,23.35097631085077,28,1.1436396755267093,1.0948770079039662,1.199093332426915
54767952a9c2411ab0d1686941ebbd26,pre,8,33.731409857235796,59,1.738476320013076,1.5390917983055636,1.7491115921246851
58a1c1708edb4a75be19901e378e0285,post,4,16.70953192052977,24,1.5914499713710772,1.2776437239765928,1.4363059428680327
58a1c1708edb4a75be19901e378e0285,pre,9,43.78873532965893,36,0.8161002908828228,0.8390512850086853,0.8221292469165359
5952789bad7b454e96bce0fed9c90344,post,7,15.807338732848791,10,0.391236883691714,0.4244240021577808,0.6326175562505837
5952789bad7b454e96bce0fed9c90344,pre,7,30.106262150233043,39,1.025111566646592,0.8522324515706005,1.2954115594086832
61766dd5d46f40f499602f7f5fb97620,post,4,16.56198521623905,13,0.7909770351690336,0.8167060681170084,0.7849300570111294
61766dd5d46f40f499602f7f5fb97620,pre,5,27.259973483062254,36,1.2008666067639844,1.4046600756989025,1.3206175722206144
63abe8bd8a454c878093476d92bbefc4,post,5,16.614439494470954,17,0.9261902794471816,0.6658151351280741,1.023206350455419
63abe8bd8a454c878093476d92bbefc4,pre,10,40.722079753919886,55,1.3004730986858017,1.5221196732276538,1.3506186406087408
6651a7b1ae6342e0bca120ed8da2207e,post,9,45.34119335309009,52,1.0857840500117344,1.0820346402668493,1.1468599777481616
6651a7b1ae6342e0bca120ed8da2207e,pre,4,17.989474648691427,15,0.8232567799375864,0.7529404350569904,0.8338209032186004
