driver_id,phase,dow_name,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km
24f36baf8aab424092875a3c5518c34c,post,Wednesday,2.885675848658,0,0,0,1,1,0.34653926928939566
24f36baf8aab424092875a3c5518c34c,pre,Friday,8.476769698325931,0,4,4,6,14,1.651572532726098
24f36baf8aab424092875a3c5518c34c,pre,Monday,8.911681433972996,0,6,3,2,11,1.2343349660217817
27efe841acc44f5099a1160226e06ccb,post,Saturday,4.520994512430495,0,1,2,1,4,0.8847610827666306
27efe841acc44f5099a1160226e06ccb,post,Sunday,11.445607827288677,0,2,4,6,12,1.0484371106433978
27efe841acc44f5099a1160226e06ccb,post,Thursday,11.999947548451985,0,9,2,3,14,1.1666717661450132
27efe841acc44f5099a1160226e06ccb,post,Tuesday,8.485440298058682,0,4,4,0,8,0.9427913837105492
27efe841acc44f5099a1160226e06ccb,post,Wednesday,2.765864681453925,0,0,0,1,1,0.36155058731012557
27efe841acc44f5099a1160226e06ccb,pre,Friday,14.272037317434059,0,7,3,0,10,0.7006708136745455
27efe841acc44f5099a1160226e06ccb,pre,Sunday,5.625997474675659,0,3,3,5,11,1.9552088406570347
27efe841acc44f5099a1160226e06ccb,pre,Thursday,10.403159769891797,0,10,6,4,20,1.9224928235633567
27efe841acc44f5099a1160226e06ccb,pre,Tuesday,4.6974922707897555,0,4,3,0,7,1.4901567892996535
348ab9962ece4e55b0ce9aa04adaf71b,post,Saturday,7.667144899546319,0,2,4,3,9,1.1738398214611216
348ab9962ece4e55b0ce9aa04adaf71b,post,Thursday,4.39406480348849,0,2,0,0,2,0.455159422867906
348ab9962ece4e55b0ce9aa04adaf71b,post,Tuesday,4.759211803926753,0,3,4,0,7,1.4708317865207021
348ab9962ece4e55b0ce9aa04adaf71b,post,Wednesday,5.128245834138705,0,1,2,1,4,0.7799938086766475
348ab9962ece4e55b0ce9aa04adaf71b,pre,Friday,12.590438829638979,0,7,9,3,19,1.5090816338563484
348ab9962ece4e55b0ce9aa04adaf71b,pre,Monday,9.773123130337144,0,6,6,4,16,1.6371429876222225
348ab9962ece4e55b0ce9aa04adaf71b,pre,Thursday,5.7839474652401055,0,3,9,4,16,2.7662768543724665
348ab9962ece4e55b0ce9aa04adaf71b,pre,Tuesday,7.167742411780269,0,6,6,5,17,2.371737016115465
3851f86078c147048498bac873d32bb9,post,Friday,4.582925416470641,0,2,0,2,4,0.872804952405366
3851f86078c147048498bac873d32bb9,post,Monday,3.614237150356708,0,3,2,1,6,1.6601013576012378
3851f86078c147048498bac873d32bb9,post,Sunday,1.36920974478061,0,2,0,0,2,1.460696586205251
3851f86078c147048498bac873d32bb9,post,Tuesday,5.287622033477899,0,2,4,2,8,1.5129674453561597
3851f86078c147048498bac873d32bb9,post,Wednesday,10.800261564889556,0,5,0,4,9,0.8333131513460743
3851f86078c147048498bac873d32bb9,pre,Monday,7.7193959709504085,0,10,5,3,18,2.33178866166958
3851f86078c147048498bac873d32bb9,pre,Tuesday,15.608498965930666,0,16,13,10,39,2.4986387278576214
3851f86078c147048498bac873d32bb9,pre,Wednesday,5.114153322972063,0,5,5,1,11,2.15089366808569
39db2e32f4444b148643a4108c7fc103,post,Friday,3.584986761689647,0,1,1,2,4,1.1157642317526306
39db2e32f4444b148643a4108c7fc103,post,Monday,3.365507927899737,0,1,4,0,5,1.4856598490083712
39db2e32f4444b148643a4108c7fc103,post,Thursday,16.95636582022708,0,5,5,9,19,1.1205231239665217
39db2e32f4444b148643a4108c7fc103,post,Tuesday,2.7462114089893688,0,2,2,0,4,1.4565521018908143
39db2e32f4444b148643a4108c7fc103,post,Wednesday,4.170805876043371,0,4,1,3,8,1.9180945452175273
39db2e32f4444b148643a4108c7fc103,pre,Friday,2.8047791363339467,0,0,0,1,1,0.3565343121123875
39db2e32f4444b148643a4108c7fc103,pre,Tuesday,5.748342041000516,0,7,4,5,16,2.783411266392762
39db2e32f4444b148643a4108c7fc103,pre,Wednesday,10.358208351426027,0,6,6,5,17,1.6412104703087564
3e5ec44cde6d4304ab58443d90368274,post,Friday,11.08791496466416,0,7,7,6,20,1.803765637068608
3e5ec44cde6d4304ab58443d90368274,post,Monday,0.0,0,0,0,0,0,0.0
3e5ec44cde6d4304ab58443d90368274,post,Saturday,4.532916133175494,0,1,6,0,7,1.5442597644303233
3e5ec44cde6d4304ab58443d90368274,post,Sunday,2.1075155777400223,0,0,0,1,1,0.4744923409165697
3e5ec44cde6d4304ab58443d90368274,post,Thursday,11.923007731276975,0,2,7,8,17,1.4258147258769973
3e5ec44cde6d4304ab58443d90368274,post,Tuesday,0.0,0,0,0,0,0,0.0
3e5ec44cde6d4304ab58443d90368274,post,Wednesday,0.0,0,0,0,0,0,0.0
3e5ec44cde6d4304ab58443d90368274,pre,Saturday,3.2395493205357453,0,2,2,3,7,2.160794390635289
3e5ec44cde6d4304ab58443d90368274,pre,Sunday,11.198880216528515,0,7,5,6,18,1.6073035564246556
3e5ec44cde6d4304ab58443d90368274,pre,Tuesday,11.653239986269703,0,4,5,2,11,0.9439434880737566
