driver_id,pre_speeding,pre_harsh_brake,pre_rapid_accel,pre_swerve,post_speeding,post_harsh_brake,post_rapid_accel,post_swerve,delta_speeding,ratio_speeding,delta_harsh_brake,ratio_harsh_brake,delta_rapid_accel,ratio_rapid_accel,delta_swerve,ratio_swerve
04618512580e479ca2447d2d6e3e5a01,0.0,0.9308295489740472,0.6540964398196008,0.37736333066515426,0.0,0.5633271681345892,0.3584809251765568,0.1792404625882784,0.0,,-0.3675023808394581,0.605188316975416,-0.295615514643044,0.5480551541840306,-0.19812286807687587,0.47498113362615985
06fc09066ff54ee0b0298ef00f80d42d,0.0,0.6447703381386927,0.5014880407745387,0.33432536051635914,0.0,0.3963942750507751,0.3171154200406201,0.15855771002031005,0.0,,-0.24837606308791754,0.6147836704074764,-0.18437262073391858,0.6323489181334043,-0.1757676504960491,0.47426168860005324
0f67d8169e91426a88b8a32e5eb5dce0,0.0,0.20914645502302745,0.3137196825345412,0.6274393650690824,0.0,0.4071578703230198,0.2505586894295506,0.31319836178693833,0.0,,0.19801141529999236,1.946759605742258,-0.06316099310499057,0.7986706074840031,-0.31424100328214405,0.49916912967750204
17dec2934ccd42d7b02d4264290dec04,0.0,0.5758297130171,0.6501303211483386,0.24147697642652577,0.0,0.628145116174386,0.40380757468353384,0.22433754149085214,0.0,,0.052315403157286,1.0908522119902007,-0.24632274646480473,0.621117892133196,-0.01713943493567363,0.9290224882334128
1e1f0a5baf04452ba71ce31f721700a7,0.0,0.7637464338798512,0.9819597007026658,0.2727665835285183,0.0,0.7570561338448866,0.5179857757886066,0.43829565643651325,0.0,,-0.006690300034964625,0.991240155451885,-0.4639739249140592,0.5275020710299505,0.16552907290799496,1.606852462522003
24f36baf8aab424092875a3c5518c34c,0.0,0.575094349917404,0.4025660449421828,0.46007547993392317,0.0,0.41550214240835154,0.26441045425986004,0.18886461018561432,0.0,,-0.1595922075090525,0.7224938698633131,-0.13815559068232275,0.6568126089666483,-0.2712108697483089,0.41050788060415516
27efe841acc44f5099a1160226e06ccb,0.0,0.685740014037147,0.4285875087732169,0.25715250526393013,0.0,0.40797743920421037,0.3059830794031578,0.2804844894528946,0.0,,-0.27776257483293665,0.5949447762313458,-0.12260442937005911,0.713933731477615,0.023331984188964483,1.0907320897574673
348ab9962ece4e55b0ce9aa04adaf71b,0.0,0.6229603034276724,0.8494913228559169,0.453062038856489,0.0,0.36448682171329344,0.4556085271416168,0.18224341085664672,0.0,,-0.25847348171437895,0.5850883590941545,-0.39388279571430007,0.5363309958363083,-0.27081862799984224,0.40224824687723126
3851f86078c147048498bac873d32bb9,0.0,1.0899355671144646,0.8086618723752479,0.4922289657936292,0.0,0.5457184199427991,0.2338793228326282,0.3508189842489423,0.0,,-0.5442171471716655,0.5006886979452869,-0.5747825495426198,0.28921769508640793,-0.14140998154468687,0.7127150343200768
39db2e32f4444b148643a4108c7fc103,0.0,0.6874186175133538,0.528783551933349,0.581661907126684,0.0,0.42175095834867193,0.42175095834867193,0.45419333976010823,0.0,,-0.2656676591646818,0.6135285655694058,-0.1070325935846771,0.7975871352402275,-0.12746856736657575,0.7808545379974254
3e5ec44cde6d4304ab58443d90368274,0.0,0.4840468466169462,0.4840468466169462,0.3803225223418863,0.0,0.337252722516027,0.674505445032054,0.5058790837740405,0.0,,-0.1467941241009192,0.6967357082751833,0.19045859841510782,1.3934714165503665,0.12555656143215416,1.330131806707168
3e7365e2a1894d95b115a245ed9af0ec,0.0,0.39783871013476013,0.5653497459809749,0.4397164690963138,0.0,0.3661726840081779,0.4184830674379175,0.2877071088635683,0.0,,-0.03166602612658226,0.9204048642831765,-0.14686667854305735,0.7402197850319726,-0.15200936023274547,0.6543014171264758
3ff40565ba464936b28420c370651622,0.0,0.5100834625325638,0.45907511627930736,0.3570584237727946,0.0,0.3722185896064758,0.6048552081105232,0.27916394220485685,0.0,,-0.13786487292608796,0.7297209514662776,0.14578009183121582,1.3175517179252236,-0.07789448156793777,0.7818438765710117
40eac30faba0435da0d7213f8cfc9c32,0.0,0.5553992596379005,0.3471245372736878,0.3471245372736878,0.0,0.5869821938849719,0.461200295195335,0.1677091982528491,0.0,,0.03158293424707137,1.056865279704662,0.1140757579216472,1.3286306373430035,-0.1794153390208387,0.48313841357927406
43b16573fdbc466184844ca9d858b626,0.0,0.4358369014262787,0.3424432796920761,0.2801808652026077,0.0,0.605249987409512,0.2420999949638048,0.302624993704756,0.0,,0.1694130859832333,1.3887075312549901,-0.10034328472827131,0.706978379547995,0.022444128502148275,1.0801058576427702
446b1e2317304addbacd77c47114dac3,0.0,0.4566527104930031,0.3261805074950022,0.19570830449700133,0.0,0.43661032732887756,0.3373807074814054,0.11907554381696661,0.0,,-0.020042383164125543,0.9561102283998539,0.011200199986403203,1.0343374289052967,-0.07663276068003472,0.608433781708998
54767952a9c2411ab0d1686941ebbd26,0.0,0.5929191837710797,0.8004408980909575,0.3557515102626478,0.0,0.3854228568515084,0.5138971424686779,0.29977333310672877,0.0,,-0.20749632691957126,0.6500428176402476,-0.28654375562227963,0.6420175976693804,-0.05597817715591902,0.8426480969410618
58a1c1708edb4a75be19901e378e0285,0.0,0.2512061587800526,0.2512061587800526,0.3197169293564306,0.0,0.8976912142925204,0.059846080952834696,0.47876864762267757,0.0,,0.6464850555124678,3.573523908219574,-0.1913600778272179,0.2382349272146383,0.15905171826624698,1.4974766853491548
